Class,Accuracy (%),Precision,Recall,F1-Score,Support
T-shirt/top,75.6,0.896797153024911,0.756,0.8204015192620727,1000.0
Trouser,98.0,0.9929078014184397,0.98,0.9864116758933065,1000.0
Pullover,83.89999999999999,0.8803777544596013,0.839,0.8591909882232462,1000.0
Dress,91.9,0.873574144486692,0.919,0.8957115009746589,1000.0
Coat,86.9,0.8511263467189031,0.869,0.8599703117268679,1000.0
Sandal,98.3,0.9732673267326732,0.983,0.9781094527363184,1000.0
Shirt,78.10000000000001,0.6785403996524761,0.781,0.7261738726173873,1000.0
Sneaker,94.39999999999999,0.9652351738241309,0.944,0.9544994944388271,1000.0
Bag,97.1,0.983789260385005,0.971,0.9773527931555108,1000.0
Ankle boot,97.0,0.9528487229862476,0.97,0.9613478691774033,1000.0
Average,90.11999999999999,0.9048464083689082,0.9012,0.90191694782056,10000.0
